Unnamed: 0;filename;DISORDER;core_All_Metals;core_Open_Metal_Sites;temperature_Celsius;time_h;Yield_Percent;metal_ele1;metal_os1;metal_ele2;metal_os2;metal_ele3;metal_os3;metal_ele4;metal_os4;metal_ele5;metal_os5;solvent1;solvent2;solvent3;solvent4;solvent5;additive1;additive2;additive3;additive4;additive5;other1;other2;other3;other4;other5;other6;other7;other8
731;KEBDIG_charged;;Co; ;180;72;50;Co;2;;;;;;;;;702;962;;;;313;;;;;;;;;;;;
732;LEDCAA_clean;;Cd;Cd;180;72;79;Cd;2;;;;;;;;;962;;;;;;;;;;;;;;;;;
733;LISZOE_clean;;Li,Y;Li;180;72;12;Li;1;Y;3;;;;;;;702;962;;;;;;;;;;;;;;;;
734;NAGBUU_clean;;Co;Co;180;72;53;Co;2;;;;;;;;;962;;;;;8471;;;;;;;;;;;;
735;NEKMUN_clean;;Co; ;180;72;∼60;Co;2;;;;;;;;;962;;;;;;;;;;;;;;;;;
736;POKGEC_clean;;Ni;Ni;180;72;;Ni;2;;;;;;;;;962;;;;;14798;;;;;;;;;;;;
737;REYPIW_clean;;Zn; ;180;72;45;Zn;2;;;;;;;;;962;;;;;;;;;;;;;;;;;
739;UJEFOE01_clean;;Yb; ;180;72;29.3;Yb;3;;;;;;;;;962;;;;;313;;;;;;;;;;;;
740;VOVKUO_clean;;U;U;180;72;;U;4;;;;;;;;;962;;;;;;;;;;;;;;;;;
741;VOVLAV_clean;;U;U;180;72;;U;4;;;;;;;;;962;;;;;;;;;;;;;;;;;
742;WEGKIE_clean;;Cu;Cu;180;72;;Cu;2;;;;;;;;;962;;;;;60966;;;;;;;;;;;;
744;YOJMAN_clean;;W,Na,K,Co;W,Na,K,Co;180;72;35;W;6;Na;1;K;1;Co;2;;;962;;;;;14798;;;;;;;;;;;;
745;AQIQAU_clean;;Cd;Cd;180;96;;Cd;2;;;;;;;;;962;;;;;;;;;;;;;;;;;
747;HAZGOF_clean;;Sc; ;180;96;;Sc;3;;;;;;;;;962;;;;;1318;;;;;;;;;;;;
750;DEGPEL_charged;;Cu;Cu;180;120;25;Cu;2;;;;;;;;;962;;;;;;;;;;;;;;;;;
751;GAWKAS_clean;;Cu,Sm;Cu,Sm;180;120;26;Cu;1;Sm;3;;;;;;;962;;;;;24247;;;;;;;;;;;;
753;OXAMIK_clean;;Co;Co;180;120;75.6;Co;2;;;;;;;;;962;;;;;14798;;;;;;;;;;;;
755;XIFLOP_clean;;Cd; ;180;120;62;Cd;2;;;;;;;;;962;;;;;;;;;;;;;;;;;
756;XIFLUV_clean;DISORDER;Cd;Cd;180;120;53.6;Cd;2;;;;;;;;;702;962;;;;14798;;;;;;;;;;;;
757;NOQKUB_clean;;Co; ;180;144;64;Co;2;;;;;;;;;962;174;;;;;;;;;;;;;;;;
760;VUQLEZ_charged;;Eu; ;180;144;;Eu;3;;;;;;;;;6228;;;;;;;;;;;;;;;;;
761;ISUGIN_clean;;Gd; ;180;168;31;Gd;3;;;;;;;;;962;;;;;;;;;;;;;;;;;
762;MALWUU_clean;;Cd; ;180;168;41;Cd;2;;;;;;;;;962;;;;;;;;;;;;;;;;;
765;SAYKIO_clean;;U;U;180;168;56;U;3;;;;;;;;;962;;;;;;;;;;;;;;;;;
