filename;DISORDER;core_All_Metals;core_Open_Metal_Sites;temperature_Celsius;time_h;Yield_Percent;metal_ele1;metal_os1;counterions1;metal_ele2;metal_os2;counterions2;metal_ele3;metal_os3;counterions3;metal_ele4;metal_os4;counterions4;metal_ele5;metal_os5;counterions5;solvent1;solvent2;solvent3;solvent4;solvent5;additive1;additive2;additive3;additive4;additive5;other1;other2;other3;other4;other5;other6;other7;other8
XOJWID_charged;;Zn;Zn;170;48;;Zn;2;;;;;;;;;;;;;;6228;;;;;;;;;;;;;;;;;
XOJWOJ_clean;;Zn;Zn;170;48;;Zn;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
DACXOV_clean;;Tb; ;170;72;;Tb;3;;;;;;;;;;;;;;962;;;;;313;;;;;;;;;;;;
FOXNIQ_clean;;Gd,Co;Gd;170;72;∼60;Gd;3;;Co;2;;;;;;;;;;;962;;;;;8471;;;;;;;;;;;;
GURTIX_charged;;In; ;170;72;78;In;3;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
GUSCIH_clean;;Gd,Ni;Ni;170;72;∼45;Gd;3;;Ni;2;;;;;;;;;;;962;;;;;14798;;;;;;;;;;;;
INIXOT_clean;;Mg;Mg;170;72;;Mg;2;;;;;;;;;;;;;;1049;962;;;;313;1004;;;;;;;;;;;
IRAYOQ_clean;;V;V;170;72;;V;5;;;;;;;;;;;;;;962;;;;;1004;;;;;;;;;;;;
MAQJEW_clean;;Ni; ;170;72;15;Ni;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
QOZWAF_clean;;W,Ni;W;170;72;;W;6;;Ni;2;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
UZAFAD_clean;;Ni;Ni;170;72;81;Ni;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
UZAFIL_clean;;Ni;Ni;170;72;65;Ni;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
WIVFIS_clean;DISORDER;Ag;Ag;170;72;54;Ag;1;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
WOQYUW_clean;;Co; ;170;72;;Co;2;;;;;;;;;;;;;;962;;;;;971;1004;;;;;;;;;;;
AGIMOU_clean;;Mn;Mn;170;96;45;Mn;2;;;;;;;;;;;;;;962;702;;;;8471;;;;;;;;;;;;
KOQLUZ_clean;;W,Cu,Si;W,Cu;170;96;28;W;6;;Cu;2;;Si;-1;;;;;;;;962;;;;;313;;;;;;;;;;;;
QAJKAO_clean;;V;V;170;96;40;V;3;;;;;;;;;;;;;;962;;;;;3084169;;;;;;;;;;;;
QAWPIO_clean;;Ni,V;V;170;96;76;Ni;2;;V;4;;;;;;;;;;;962;;;;;176;313;;;;;;;;;;;
TAYNEN_clean;;Cd; ;170;96;45;Cd;2;;;;;;;;;;;;;;962;;;;;14798;;;;;;;;;;;;
BASSOF_clean;;Dy,Ag;Ag;170;120;76;Dy;3;;Ag;1;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
DUXKEN_clean;;Ni,V;Ni,V;170;120;;Ni;2;;V;5;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
ECODOQ_clean;;Ga; ;170;120;;Ga;3;;;;;;;;;;;;;;962;;;;;3084169;;;;;;;;;;;;
KIRTOW_clean;;Al;Al;170;120;;Al;3;;;;;;;;;;;;;;6228;;;;;3084169;;;;;;;;;;;;
LEQVIN_clean;;Fe; ;170;120;65;Fe;3;;;;;;;;;;;;;;962;;;;;3084169;;;;;;;;;;;;
PACZOK_clean;;V;V;170;144;;V;2;;;;;;;;;;;;;;962;;;;;1004;;;;;;;;;;;;
INIRII_clean;;Tb,Ge;Tb,Ge;170;168;41;Tb;3;;Ge;-1;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
INIROO_clean;DISORDER;Dy,Ge;Dy,Ge;170;168;43;Dy;3;;Ge;-1;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
MUZGAQ_clean;;Dy,Zn;Dy,Zn;170;168;30;Dy;3;;Zn;2;;;;;;;;;;;962;;;;;313;284;;;;;;;;;;;
PIGXAF_clean;;Cd; ;170;168;42;Cd;2;;;;;;;;;;;;;;6228;887;;;;;;;;;;;;;;;;
POBJIB_clean;DISORDER;Be;Be;170;168;84.2;Be;2;;;;;;;;;;;;;;962;174;;;;3084169;;;;;;;;;;;;
UFASAW_charged;;Cd; ;170;168;63;Cd;2;;;;;;;;;;;;;;962;;;;;14797;;;;;;;;;;;;
UFASEA_ion_b;;Cd;Cd;170;168;21;Cd;2;;;;;;;;;;;;;;962;;;;;14797;;;;;;;;;;;;
VAHQAY_clean;;Cu,Er;Cu;170;168;43;Cu;1;;Er;3;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
BOWRAH_clean;;Fe;Fe;170;192;;Fe;3;;;;;;;;;;;;;;962;;;;;313;1004;;;;;;;;;;;
XEQGAC_clean;;V;V;170;200;;V;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
QIYBUX_clean;;Ag,Si;Ag;171;96;59;Ag;1;;Si;-1;;;;;;;;;;;962;887;;;;;;;;;;;;;;;;
QIYCOS_clean;;Ag,Si;Ag;173;72;53;Ag;1;;Si;-1;;;;;;;;;;;962;887;;;;;;;;;;;;;;;;
QIYCEI_clean;;Ag,Si;Ag;175;72;54;Ag;1;;Si;-1;;;;;;;;;;;962;887;;;;;;;;;;;;;;;;
WACKOB_clean;;Mo,Co; ;175;96;75;Mo;6;;Co;2;;;;;;;;;;;962;;;;;1004;3301;;;;;;;;;;;
IWAHIZ_clean;DISORDER;Al; ;175;144;78.2;Al;3;;;;;;;;;;;;;;962;887;;;;1004;;;;;;;;;;;;
GUVBEF_clean;;W,Ni; ;175;168;19;W;6;;Ni;2;;;;;;;;;;;962;;;;;313;;;;;;;;;;;;
QIYCIM_clean;;Ag,Si;Ag;176;72;54;Ag;1;;Si;-1;;;;;;;;;;;962;887;;;;;;;;;;;;;;;;
QIYCAE_clean;;Ag,Si;Ag;178;48;62;Ag;1;;Si;-1;;;;;;;;;;;962;887;;;;;;;;;;;;;;;;
DOKHIV_clean;;Cu;Cu;180;12;30;Cu;2;;;;;;;;;;;;;;962;702;;;;;;;;;;;;;;;;
DOKHOB_clean;;Cu;Cu;180;12;35;Cu;2;;;;;;;;;;;;;;962;702;;;;;;;;;;;;;;;;
UGOFED_clean;;Cs,Fe;Cs,Fe;180;15;;Cs;1;;Fe;3;;;;;;;;;;;6228;;;;;;;;;;;;;;;;;
AZAVOO_clean;;Mg;Mg;180;24;;Mg;2;;;;;;;;;;;;;;962;12051;702;;;;;;;;;;;;;;;
AZAVUU_clean;;Cu;Cu;180;24;;Cu;2;;;;;;;;;;;;;;962;6228;;;;;;;;;;;;;;;;
AZAWAB_clean;;Cu;Cu;180;24;;Cu;2;;;;;;;;;;;;;;962;12051;;;;;;;;;;;;;;;;
FIVQOR_clean;;Ga;Ga;180;24;;Ga;3;;;;;;;;;;;;;;962;;;;;428;1004;;;;;;;;;;;
GOXMEN_clean;;Co; ;180;24;∼40;Co;2;;;;;;;;;;;;;;962;;;;;14798;;;;;;;;;;;;
GUCJAQ_clean;;Zn; ;180;24;80;Zn;2;;;;;;;;;;;;;;962;6228;;;;1004;;;;;;;;;;;;
REYMOZ_clean;;Cu;Cu;180;24;87.6;Cu;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
RIFGAQ_clean;;Cu;Cu;180;24;;Cu;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
WECBAJ_clean;;Zn; ;180;24;;Zn;2;;;;;;;;;;;;;;962;174;;;;1004;;;;;;;;;;;;
QESRAI_clean;;Zn; ;180;28;;Zn;2;;;;;;;;;;;;;;962;;;;;313;1004;;;;;;;;;;;
PUWCOZ_clean;;Ni;Ni;180;40;27;Ni;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
HEBNIN_clean;;Zn,U;Zn,U;180;48;;Zn;2;;U;3;;;;;;;;;;;962;;;;;944;;;;;;;;;;;;
ORERAG_clean;;Be; ;180;48;;Be;2;;;;;;;;;;;;;;962;;;;;428;;;;;;;;;;;;
WUCRUH_clean;;Fe;Fe;180;48;;Fe;2;;;;;;;;;;;;;;962;;;;;14797;14798;;;;;;;;;;;
PUWCEP_charged;DISORDER;Cd; ;180;60;91;Cd;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
XIQHIO_clean;;Fe; ;180;64;;Fe;3;;;;;;;;;;;;;;962;;;;;1004;3301;;;;;;;;;;;
ASUKEE01_clean;;Cu;Cu;180;72;;Cu;1;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
DOKHUH_clean;;Cd;Cd;180;72;45;Cd;2;;;;;;;;;;;;;;962;702;;;;;;;;;;;;;;;;
JESDIV_clean;;Ga; ;180;72;;Ga;3;;;;;;;;;;;;;;962;;;;;3084169;;;;;;;;;;;;
KEBDIG_charged;;Co; ;180;72;50;Co;2;;;;;;;;;;;;;;962;702;;;;313;;;;;;;;;;;;
LEDCAA_clean;;Cd;Cd;180;72;79;Cd;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
LISZOE_clean;;Li,Y;Li;180;72;12;Li;1;;Y;3;;;;;;;;;;;962;702;;;;;;;;;;;;;;;;
NAGBUU_clean;;Co;Co;180;72;53;Co;2;;;;;;;;;;;;;;962;;;;;8471;;;;;;;;;;;;
NEKMUN_clean;;Co; ;180;72;∼60;Co;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
POKGEC_clean;;Ni;Ni;180;72;;Ni;2;;;;;;;;;;;;;;962;;;;;14798;;;;;;;;;;;;
REYPIW_clean;;Zn; ;180;72;45;Zn;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
SUXNIJ_clean;DISORDER;V;V;180;72;65;V;3;;;;;;;;;;;;;;962;;;;;3084169;;;;;;;;;;;;
UJEFOE01_clean;;Yb; ;180;72;29.3;Yb;3;;;;;;;;;;;;;;962;;;;;313;;;;;;;;;;;;
VOVKUO_clean;;U;U;180;72;;U;4;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
VOVLAV_clean;;U;U;180;72;;U;4;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
WEGKIE_clean;;Cu;Cu;180;72;;Cu;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
WEVQOD01_clean;;Cu,Gd;Cu;180;72;78;Cu;2;;Gd;3;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
YOJMAN_clean;;W,Na,K,Co;W,Na,K,Co;180;72;35;W;6;;Na;1;;K;1;;Co;2;;;;;962;;;;;14798;;;;;;;;;;;;
AQIQAU_clean;;Cd;Cd;180;96;;Cd;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
FEJDII_clean;;Zn; ;180;96;21;Zn;2;;;;;;;;;;;;;;962;;;;;3084169;;;;;;;;;;;;
HAZGOF_clean;;Sc; ;180;96;;Sc;3;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
ILENOC_clean;;In;In;180;96;;In;3;;;;;;;;;;;;;;1049;962;;;;1004;;;;;;;;;;;;
TACFIN01_clean;DISORDER;Zn,Co;Zn,Co;180;96;80;Zn;2;;Co;2;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
DEGPEL_charged;;Cu;Cu;180;120;25;Cu;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
GAWKAS_clean;;Cu,Sm;Cu,Sm;180;120;26;Cu;1;;Sm;3;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
HIJMEU_clean;;Mo,Mn; ;180;120;75;Mo;6;;Mn;2;;;;;;;;;;;962;;;;;1004;3301;;;;;;;;;;;
OXAMIK_clean;;Co;Co;180;120;75.6;Co;2;;;;;;;;;;;;;;962;;;;;14798;;;;;;;;;;;;
TISKOW_clean;;Zn;Zn;180;120;;Zn;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
XIFLOP_clean;;Cd; ;180;120;62;Cd;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
XIFLUV_clean;DISORDER;Cd;Cd;180;120;53.6;Cd;2;;;;;;;;;;;;;;962;702;;;;14798;;;;;;;;;;;;
NOQKUB_clean;;Co; ;180;144;64;Co;2;;;;;;;;;;;;;;962;174;;;;;;;;;;;;;;;;
QOCBUH_clean;;Be; ;180;144;82.0;Be;2;;;;;;;;;;;;;;1049;962;;;;1004;;;;;;;;;;;;
VEHLAW_clean;;Zn; ;180;144;79.9;Zn;2;;;;;;;;;;;;;;1049;962;174;;;60966;;;;;;;;;;;;
VUQLEZ_charged;;Eu; ;180;144;;Eu;3;;;;;;;;;;;;;;6228;;;;;;;;;;;;;;;;;
ISUGIN_clean;;Gd; ;180;168;31;Gd;3;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
MALWUU_clean;;Cd; ;180;168;41;Cd;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
PETNOS_clean;;In; ;180;168;51;In;3;;;;;;;;;;;;;;962;;;;;3084169;;;;;;;;;;;;
RUYZUH_clean;;Mo,Mn;Mo;180;168;;Mo;5;;Mn;2;;;;;;;;;;;962;;;;;1004;3301;;;;;;;;;;;
SAYKIO_clean;;U;U;180;168;56;U;3;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
VOXVEL_clean;;Be; ;180;168;57.1;Be;2;;;;;;;;;;;;;;962;263;;;;1004;;;;;;;;;;;;
LEVBAQ_clean;;In;In;180;192;90;In;3;;;;;;;;;;;;;;962;;;;;1004;;;;;;;;;;;;
QOBPEE_clean;;Be; ;180;192;89.8;Be;2;;;;;;;;;;;;;;962;174;;;;1004;;;;;;;;;;;;
VOXVAH_clean;DISORDER;Be; ;180;216;87.4;Be;2;;;;;;;;;;;;;;702;;;;;1004;;;;;;;;;;;;
VEZQEX_clean;;In; ;180;240;70;In;3;;;;;;;;;;;;;;962;;;;;1004;;;;;;;;;;;;
VOXTUZ_clean;DISORDER;Be; ;180;240;33.9;Be;2;;;;;;;;;;;;;;887;;;;;1004;;;;;;;;;;;;
WURNOO_clean;;Cu; ;180;312;40;Cu;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
EDOYOL_clean;;Co;Co;180;336;;Co;2;;;;;;;;;;;;;;962;;;;;428;1004;;;;;;;;;;;
WONRUM02_clean;;Co;Co;190;72;;Co;2;;;;;;;;;;;;;;962;;;;;1004;3301;;;;;;;;;;;
HULTEN_clean;;Zn; ;190;96;;Zn;2;;;;;;;;;;;;;;962;;;;;1004;;;;;;;;;;;;
UCOCUM_neutral;;Cu;Cu;200;16;25;Cu;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
PENXUC_clean;;V;V;200;48;55;V;3;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
TOVJAP_charged;;V,Fe;V;200;48;85;V;4;;Fe;3;;;;;;;;;;;962;;;;;176;1004;3301;;;;;;;;;;
XAJZOY_clean;;Al; ;200;60;;Al;3;;;;;;;;;;;;;;962;;;;;1004;;;;;;;;;;;;
HAWREE_clean;;Mn; ;200;72;33;Mn;2;;;;;;;;;;;;;;6228;702;;;;;;;;;;;;;;;;
AXOHIE_clean;;Cd; ;200;96;39;Cd;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
TEQVAO_manual;;Mg,Zn;Mg;200;120;∼55;Mg;2;;Zn;2;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
XUGWAZ_clean;;Dy; ;200;240;33;Dy;3;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
UTULUR_SL_part;;In; ;210;24;;In;3;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
UVEXAV_clean;DISORDER;Ga; ;210;24;;Ga;3;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
SAMXUC_clean;DISORDER;Sm; ;210;120;;Sm;3;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
TEQVOC_clean;DISORDER;Ba,Zn;Ba,Zn;210;120;∼60;Ba;2;;Zn;2;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
MAYJOM_clean;;In; ;220;72;;In;3;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
PUWXAH_clean;;Mn; ;220;72;52.8;Mn;2;;;;;;;;;;;;;;962;;;;;14798;;;;;;;;;;;;
CABQEB_clean;;Co; ;255;120;85;Co;2;;;;;;;;;;;;;;962;8028;;;;;;;;;;;;;;;;
DACSEI_clean;DISORDER;Cu;Cu;80;36;44;Cu;2;;;;;;;;;;;;;;6228;6342;962;;;313;;;;;;;;;;;;
EHUTAE_clean;DISORDER;Cu;Cu;85;48;85;Cu;2;;;;;;;;;;;;;;6228;6342;;;;313;;;;;;;;;;;;
EKEMEO_clean;DISORDER;Cu;Cu;90;120;;Cu;2;;;;;;;;;;;;;;6228;6342;962;;;313;;;;;;;;;;;;
KOJZOZ_clean;DISORDER;Cu;Cu;85;20;76;Cu;2;;;;;;;;;;;;;;6228;6342;1049;;;;;;;;;;;;;;;
KUKQAK_clean;DISORDER;Cu;Cu;120;72;65;Cu;2;;;;;;;;;;;;;;962;6342;6342;;;;;;;;;;;;;;;
PEJMUO_clean;DISORDER;Cu;Cu;105;24;68;Cu;2;;;;;;;;;;;;;;962;6342;;;;944;;;;;;;;;;;;
RAHNUL_clean;DISORDER;Cu;Cu;85;18;80;Cu;2;;;;;;;;;;;;;;6228;679;962;;;313;;;;;;;;;;;;
RAHPAT_clean;DISORDER;Cu;Cu;85;18;87;Cu;2;;;;;;;;;;;;;;6228;962;;;;313;;;;;;;;;;;;
RUFZOJ_clean;DISORDER;Cu;Cu;60;72;45;Cu;2;;;;;;;;;;;;;;6228;962;887;;;;;;;;;;;;;;;
SUNLAP_clean;DISORDER;Cu;Cu;80;336;42;Cu;2;;;;;;;;;;;;;;6228;962;;;;222;;;;;;;;;;;;
ZOJWAY_clean;DISORDER;Cu;Cu;60;4;65;Cu;2;;;;;;;;;;;;;;6228;962;;;;28118;;;;;;;;;;;;
ADASEF_clean;;Cu;Cu;75;40;;Cu;2;;;;;;;;;;;;;;6228;;;;;;;;;;;;;;;;;
BEXVEH_clean;;Cu;Cu;80;48;52;Cu;2;;;;;;;;;;;;;;31374;962;;;;944;;;;;;;;;;;;
BOWNUY_clean;;Cu;Cu;85;48;;Cu;2;;;;;;;;;;;;;;6228;;;;;944;;;;;;;;;;;;
DARBUU_clean;;Cu;Cu;120;72;75;Cu;1;;;;;;;;;;;;;;8028;;;;;;;;;;;;;;;;;
DEJCIF_clean;;Cu;Cu;85;12;;Cu;2;;;;;;;;;;;;;;6228;702;;;;;;;;;;;;;;;;
EBATUZ_clean;;Cu;Cu;85;24;76;Cu;2;;;;;;;;;;;;;;6228;;;;;28118;;;;;;;;;;;;
EBAVAH_auto;;Cu;Cu;85;24;65;Cu;2;;;;;;;;;;;;;;6228;;;;;28118;;;;;;;;;;;;
EJOQUR_clean;;Cu;Cu;85;16;52;Cu;2;;;;;;;;;;;;;;6228;962;;;;;;;;;;;;;;;;
ENESOH_clean;;Cu;Cu;85;96;34;Cu;2;;;;;;;;;;;;;;962;887;;;;;;;;;;;;;;;;
EXOZIB_clean;;Cu;Cu;25;504;24;Cu;2;;;;;;;;;;;;;;962;887;;;;10942334;;;;;;;;;;;;
FECXES_clean;;Cu;Cu;100;72;62;Cu;2;;;;;;;;;;;;;;962;702;;;;944;;;;;;;;;;;;
GUJREK_clean;;Cu;Cu;140;5;72;Cu;2;;;;;;;;;;;;;;962;6342;;;;;;;;;;;;;;;;
JUTCIM_clean;;Cu;Cu;85;24;76;Cu;2;;;;;;;;;;;;;;31374;702;962;;;174;;;;;;;;;;;;
KADLOT_clean;;Cu;Cu;85;48;;Cu;2;;;;;;;;;;;;;;6228;6342;;;;;;;;;;;;;;;;
KOMFUO_clean;;Cu;Cu;25;252;55;Cu;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
LABJUV_clean;;Cu;Cu;175;72;48;Cu;1;;;;;;;;;;;;;;6342;;;;;;;;;;;;;;;;;
LEVDIB_clean;;Cu;Cu;90;48;45;Cu;2;;;;;;;;;;;;;;6228;702;962;;;313;;;;;;;;;;;;
LIKDOA_clean;;Cu;Cu;65;48;79;Cu;2;;;;;;;;;;;;;;6228;962;;;;313;;;;;;;;;;;;
MUNDAC_clean;;Cu;Cu;85;48;65;Cu;1;;;;;;;;;;;;;;6228;;;;;944;;;;;;;;;;;;
MUNDOQ_clean;;Cu;Cu;85;12;71;Cu;1;;;;;;;;;;;;;;6228;;;;;28118;;;;;;;;;;;;
OYIVIC_clean;;Cu;Cu;90;72;61;Cu;2;;;;;;;;;;;;;;6228;702;;;;;;;;;;;;;;;;
DACSAE_clean;DISORDER;Cu;Cu;80;12;44;Cu;2;;;;;;;;;;;;;;962;887;;;;313;;;;;;;;;;;;
DEJCEB_clean;;Zn;Zn;85;12;;Zn;2;;;;;;;;;;;;;;702;6228;;;;;;;;;;;;;;;;
FUTTIZ_clean;;Zn;Zn;85;16;;Zn;2;;;;;;;;;;;;;;962;6228;;;;;;;;;;;;;;;;
EHUSUX_clean;DISORDER;Cu;Cu;90;16;80;Cu;2;;;;;;;;;;;;;;962;;;;;313;;;;;;;;;;;;
APUPEH_clean;;Cu;Cu;65;24;35;Cu;2;;;;;;;;;;;;;;12051;887;949;;;;;;;;;;;;;;;
FUWQIZ_clean;DISORDER;Cu;Cu;80;24;68;Cu;2;;;;;;;;;;;;;;962;6228;;;;313;;;;;;;;;;;;
HUNCIE_clean;DISORDER;Cu;Cu;80;24;;Cu;2;;;;;;;;;;;;;;962;31374;;;;944;;;;;;;;;;;;
AJINOY_clean;;Cu;Cu;85;24;46;Cu;2;;;;;;;;;;;;;;962;;;;;14798;;;;;;;;;;;;
EBAMUS_clean;;Cu;Cu;85;24;;Cu;2;;;;;;;;;;;;;;962;6228;;;;;;;;;;;;;;;;
FATQID_clean;;Cu;Cu;85;24;;Cu;2;;;;;;;;;;;;;;6228;;;;;944;;;;;;;;;;;;
NAWXER_clean;;Zn;Zn;85;24;;Zn;2;;;;;;;;;;;;;;6228;702;;;;944;;;;;;;;;;;;
GAHWIX_clean;;Zn;Zn;95;24;83;Zn;2;;;;;;;;;;;;;;6228;;;;;;;;;;;;;;;;;
LUPYAX_clean;;Zn;Zn;100;24;;Zn;2;;;;;;;;;;;;;;6228;;;;;;;;;;;;;;;;;
OVUVIL_clean;DISORDER;Zn;Zn;110;24;;Zn;2;;;;;;;;;;;;;;6228;;;;;;;;;;;;;;;;;
CAGSAG_clean;;Zn;Zn;120;24;80;Zn;2;;;;;;;;;;;;;;6228;;;;;;;;;;;;;;;;;
QAKFIU_clean;;Zn;Zn;80;36;54;Zn;2;;;;;;;;;;;;;;962;6228;;;;944;;;;;;;;;;;;
KIJRUS_clean;;Cu;Cu;60;48;;Cu;2;;;;;;;;;;;;;;962;6228;;;;313;;;;;;;;;;;;
MOYYEF_clean;;Cu;Cu;60;48;80;Cu;2;;;;;;;;;;;;;;962;6228;702;;;;;;;;;;;;;;;
BIDPOV_clean;;Cu;Cu;65;48;;Cu;2;;;;;;;;;;;;;;6228;;;;;944;;;;;;;;;;;;
FAGREM_clean;;Zn;Zn;65;48;;Zn;2;;;;;;;;;;;;;;962;12051;702;;;;;;;;;;;;;;;
ONIXOZ_clean;;Cu;Cu;65;48;69;Cu;2;;;;;;;;;;;;;;6228;;;;;28118;;;;;;;;;;;;
WARXUL_clean;DISORDER;Cu;Cu;65;48;72;Cu;2;;;;;;;;;;;;;;962;6228;;;;944;;;;;;;;;;;;
LUSYEF_clean;;Cu;Cu;70;48;75;Cu;2;;;;;;;;;;;;;;962;6228;;;;944;;;;;;;;;;;;
PELRIJ_clean;;Cu;Cu;70;48;;Cu;2;;;;;;;;;;;;;;6228;;;;;944;;;;;;;;;;;;
VIXPUP_clean;DISORDER;Cu;Cu;75;48;∼70;Cu;2;;;;;;;;;;;;;;962;6228;702;;;944;;;;;;;;;;;;
FIHHOV_clean;DISORDER;Zn;Zn;80;48;10;Zn;2;;;;;;;;;;;;;;6228;702;;;;944;;;;;;;;;;;;
NUBPIL_clean;;Cu;Cu;80;48;67;Cu;2;;;;;;;;;;;;;;962;6228;;;;;;;;;;;;;;;;
PEZCII_clean;;La;La;80;48;63;La;3;;;;;;;;;;;;;;962;6228;887;;;;;;;;;;;;;;;
UCAJUF_clean;DISORDER;Zn;Zn;80;48;99.8;Zn;2;;;;;;;;;;;;;;962;6228;702;;;313;;;;;;;;;;;;
UXOHOG_clean;DISORDER;Cu;Cu;80;48;;Cu;2;;;;;;;;;;;;;;962;887;;;;;;;;;;;;;;;;
JAJZAY_clean;DISORDER;Zn;Zn;85;48;63;Zn;2;;;;;;;;;;;;;;6228;6342;;;;;;;;;;;;;;;;
NORPIV_clean;DISORDER;Zn;Zn;90;48;;Zn;2;;;;;;;;;;;;;;962;6228;;;;944;;;;;;;;;;;;
IGINIX_clean;;Zn;Zn;100;48;95;Zn;2;;;;;;;;;;;;;;6228;;;;;;;;;;;;;;;;;
IZEWAN_clean;;Zn;Zn;100;48;∼70;Zn;2;;;;;;;;;;;;;;962;31275;;;;;;;;;;;;;;;;
MUZHUL_charged;;Zn;Zn;110;48;78;Zn;2;;;;;;;;;;;;;;6228;;;;;;;;;;;;;;;;;
CIQQIE_clean;DISORDER;La;La;120;48;62;La;3;;;;;;;;;;;;;;6228;;;;;243;;;;;;;;;;;;
GARTUR_clean;;Zn,Ga;Zn;120;48;85;Zn;2;;Ga;3;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
LAVMAY_clean;DISORDER;Zn;Zn;180;48;70;Zn;2;;;;;;;;;;;;;;962;887;;;;14923;;;;;;;;;;;;
LUMZEA_clean;;Cu;Cu;120;50;;Cu;2;;;;;;;;;;;;;;962;;;;;;;;;;;;;;;;;
HOXSIY_clean;;Zn;Zn;100;60;;Zn;2;;;;;;;;;;;;;;962;31374;;;;;;;;;;;;;;;;
GEGDED_clean;;Cu;Cu;60;72;;Cu;2;;;;;;;;;;;;;;6228;;;;;28118;;;;;;;;;;;;
ODUNEH_clean;;Zn;Zn;60;72;65;Zn;2;;;;;;;;;;;;;;6228;702;;;;;;;;;;;;;;;;
DICKEH_clean;;Cu;Cu;65;72;73;Cu;2;;;;;;;;;;;;;;962;6228;;;;28118;;;;;;;;;;;;
NIZNAN_clean;;Tb;Tb;65;72;;Tb;3;;;;;;;;;;;;;;962;6228;;;;;;;;;;;;;;;;
SITFUY_clean;DISORDER;Cu;Cu;65;72;73;Cu;2;;;;;;;;;;;;;;702;;;;;;;;;;;;;;;;;
OGOJAX_clean;DISORDER;Cu;Cu;70;72;;Cu;2;;;;;;;;;;;;;;6228;;;;;944;;;;;;;;;;;;
ODEZAB_clean;;Cu;Cu;80;72;;Cu;2;;;;;;;;;;;;;;962;6228;;;;313;;;;;;;;;;;;
PORVID_clean;;Cu;Cu;80;72;;Cu;2;;;;;;;;;;;;;;962;;;;;944;;;;;;;;;;;;
AVEQID_clean;;Zn;Zn;85;72;;Zn;2;;;;;;;;;;;;;;962;31374;;;;;;;;;;;;;;;;
MAYKOO_clean;;Cu;Cu;85;72;90;Cu;2;;;;;;;;;;;;;;962;31275;6228;;;313;;;;;;;;;;;;
HAFSOZ_clean;;Zn;Zn;95;72;;Zn;2;;;;;;;;;;;;;;962;31374;;;;;;;;;;;;;;;;
HUCSEF_clean;DISORDER;Cu;Cu;100;72;;Cu;2;;;;;;;;;;;;;;962;31374;;;;944;;;;;;;;;;;;
WIKGII_clean;DISORDER;Zn;Zn;100;72;;Zn;2;;;;;;;;;;;;;;6228;;;;;;;;;;;;;;;;;
